Seg. Bottom,Seg. Top,Morph type,mean slope,slope st. dev. ,Pluck vs Abrade,Pct cover,Channel width mean,channel width st. dev. ,PtCt?
148,160,4,,,,0,,,
160,162,1,,,,1,,,
162,166,2,,,,1,,,
166,169,1,,,,1,,,
169,174,2,,,,2,,,
174,179,4,,,,0,,,
179,183,1,,,,?,,,
183,185,2,,,,2,,,
185,190,4,,,,0,,,
190,193,1,,,,3,,,
193,200,2,,,,?,,,
200,207,1,,,,3,,,
207,209,4,,,,0,,,
209,210,1,,,,3,,,
210,214,1,,,,3,,,
214,234,4,,,,0,,,
234,251,4,,,,0,,,
251,256,4,,,,0,,,
256,259,2,,,,2,,,
259,262,3,,,,1,,,
262,270,2,,,,1,,,
270,272,1,,,,3,,,
