elevation,channelWidth,slope,d_area_loc,distance
144.2059937,11.1513004,0.0037691,5717283,3807
144.5330048,10.1524,0.122999,5717233,3845
144.6600037,11.6796999,0.114847,5717235,3869
144.5749969,8.02738,0.0682266,5717258,3892
144.8370056,8.2872601,0.0301854,5717282,3912
145.3359985,14.2833004,0.122999,5717231,3950
145.5720062,14.8380003,0.0183933,5717218,3997
145.7669983,14.9882002,0.035212,5717066,4028
145.9940033,16.8195,0.0193392,5717068,4052
146.223999,10.6657,0.0115578,5717070,4061
146.0399933,8.2022104,0.0077887,5717070,4074
146.1349945,6.7199702,0.0077887,5717072,4075
146.4900055,2.2409201,0.014541,5717114,4080
146.4589996,2.1430099,0.0154883,5717182,4089
146.0639954,2.06986,0.035212,5717064,4100
145.9149933,9.1363697,0.0238372,5717060,4118
145.9290009,7.6587901,0.0238372,5717056,4128
145.9049988,6.0557499,0.0138564,5716912,4142
145.8769989,6.2586098,0.0079368,5716984,4155
145.9149933,3.6045599,0.0103307,5717054,4159
147.8800049,14.6472998,0.0264926,5716632,4181
148.022995,8.7435999,0.0329462,5716344,4200
148.0850067,10.4175997,0.0439248,5716334,4219
148.1589966,9.6309996,0.0272299,5716295,4234
148.1900024,29.7511997,0.0272299,5716297,4278
148.1230011,30.3626995,0.0229633,5716298,4284
159.8840027,2.36676,0.0388633,5716310,4300
160.7400055,2.0114999,0.0502071,5716327,4315
160.798996,2.52074,0.0301193,5716292,4326
162.1210022,6.9018602,0.0301193,5716278,4342
162.2610016,8.4753599,0.0212053,5716264,4347
162.2669983,10.1799002,0.0212053,5716260,4356
162.3190002,10.0915003,0.0112953,5716251,4372
162.2940063,9.2462502,0.0177085,5716246,4378
163.0140076,5.0976,0.02184,5716212,4390
166.1589966,12.9708996,0.0311313,5716216,4404
166.3580017,14.1492004,0.0497432,5716220,4415
166.8190002,9.8932199,0.0497432,5716234,4421
167.2449951,6.6525998,0.0342784,5716201,4434
167.4559937,14.3060999,0.0239949,5716172,4445
167.5670013,12.4579,0.0151502,5716143,4452
167.7230072,10.8195,0.0199671,5716135,4467
167.7350006,8.5769997,0.0199671,5716130,4478
167.7050018,8.1663904,0.0409806,5716124,4485
167.7590027,7.40834,0.0143712,5716062,4494
167.7039948,4.4498601,0.0143712,5716074,4498
167.8079987,5.9303498,0.0155602,5716100,4516
167.9940033,4.2929001,0.0409806,5716117,4544
168.651001,18.7970009,0.0124125,5716058,4569
168.8639984,10.2517004,0.0145983,5716026,4594
168.8760071,5.9590502,0.0158781,5715988,4599
168.8350067,5.3572102,0.0284676,5715978,4621
168.8769989,5.3331099,0.0407944,5715975,4628
168.8869934,8.4391298,0.0407944,5715972,4639
168.8500061,7.92237,0.0123131,5715952,4645
169.0140076,5.6124001,0.0142676,5714044,4649
169.1889954,6.9373102,0.0189994,5714079,4656
169.4320068,8.0008001,0.0189994,5714082,4666
169.6100006,8.1661396,0.0139578,5714990,4676
169.7200012,8.3262796,0.0131194,5715902,4683
169.6840057,6.4117799,0.0160406,5715921,4690
169.6000061,4.1928902,0.0166513,5714000,4691
169.5559998,3.9693601,0.0166513,5714008,4698
169.5630035,4.1650801,0.0171671,5713990,4701
169.6049957,2.3104899,0.0217553,5713984,4704
170.1230011,2.0599899,0.0219596,5713982,4717
170.1049957,2.0516701,0.0447518,5713669,4723
170.4279938,1.98438,0.0447518,5713350,4734
170.2559967,2.6664701,0.0355596,5713342,4728
170.2630005,2.18681,0.0367998,5713334,4740
171.1069946,1.98548,0.0322111,5713322,4752
170.5240021,2.12076,0.0347843,5713310,4764
170.4429932,2.31601,0.0347843,5713297,4775
171.7409973,1.92863,0.0262323,5713290,4792
172.779007,1.95848,0.0291201,5713253,4809
172.9539948,3.0311201,0.0284913,5713208,4819
172.9960022,5.9306102,0.0115437,5230480,4828
173.1340027,5.9277,0.0203812,5230484,4841
173.1970062,6.4776802,0.0233189,5230492,4850
173.4609985,10.0454998,0.0280326,5230500,4863
173.621994,12.3645,0.0280326,5230502,4871
173.6990051,9.2294798,0.019831,5230522,4880
173.7920074,8.9755297,0.0292258,5713194,4890
173.8309937,9.0010004,0.0205832,5229574,4902
173.8710022,9.1559401,0.0092537,5230555,4919
173.7769928,9.7231998,0.032617,5713188,4925
173.8119965,9.6867704,0.0205832,5228662,4933
173.8650055,11.3397999,0.0115636,5230576,4938
173.8739929,8.6048298,0.0617667,5713180,4944
