elevation,spacing_mean,spacing_std,fracture_terminations
0,NaN,NaN,1
0,NaN,NaN,0
0,NaN,NaN,0
230.5,0.379783574,0,1
231.5,0.446086854,0.093766998,1
232.5,0.446086854,0.093766998,0
233.5,0.446086854,0.093766998,0
234.5,0.446086854,0.093766998,2
235.5,0.288680608,0.128839051,2
236.5,0.410048751,0.229107899,0
237.5,0.65160654,0.518067834,3
238.5,0.529811402,0.566646893,2
239.5,0.62556687,0.535408326,2
240.5,0.62556687,0.535408326,2
241.5,0.517992268,0.427309357,1
242.5,0.386957032,0.53920853,3
243.5,0.076141176,0.043042969,0
244.5,0.063194784,0.037804441,4
245.5,0.449904159,0.786631411,7
246.5,0.546293284,0.629448764,9
247.5,0.864270404,1.066851441,9
248.5,0.989015442,1.076485578,7
249.5,1.02809373,0.929434264,2
250.5,1.188659718,0.975634864,3
251.5,1.130281402,1.017689678,5
252.5,0.965103902,0.949903282,4
253.5,0.908040721,0.999213726,4
254.5,0.936500111,1.051391686,7
255.5,1.025620594,1.063532142,5
256.5,0.650530519,0.943798448,2
257.5,0.640436432,0.740402291,4
258.5,0.770224854,0.61915628,8
259.5,0.546901584,0.493226106,3
260.5,0.429536653,0.370917997,7
261.5,0.407488805,0.332503886,7
262.5,0.3432604,0.21545202,11
263.5,0.429500052,0.389626786,5
264.5,0.497246162,0.441722813,12
265.5,0.410980809,0.316441,7
266.5,0.389922866,0.318763172,12
267.5,0.359710686,0.30543704,5
268.5,0.26961969,0.256834223,7
269.5,0.256517142,0.261806629,3
270.5,0.181133854,0.141484372,3
271.5,0.247103803,0.217127993,4
272.5,0.352678131,0.439737551,9
273.5,0.340504344,0.428722477,8
274.5,0.413098245,0.512716097,7
275.5,0.326836589,0.572565117,4
276.5,0.243191745,0.248772583,8
277.5,0.284533658,0.317197974,6
278.5,0.295737923,0.311778865,7
279.5,0.391875976,0.339663572,8
280.5,0.424509535,0.451927937,2
281.5,0.571041727,0.481049449,0
282.5,0.57108955,0.537829618,4
283.5,0.57108955,0.537829618,1
284.5,0.247689391,0.224779942,1
285.5,0.247689391,0.224779942,0
286.5,0.088745969,0,0
287.5,0.088745969,0,0
288.5,0.088745969,0,1
289.5,0.11580017,0.038260417,0
290.5,0.11580017,0.038260417,0
291.5,0.11580017,0.038260417,2
