elevation,Flow_Accumulation,distance,slope
144.3919983,1913257,1035,0.287142916
146.6970062,1912869,1038,0.679836426
146.927002,1912868,1040,0.768479484
150.9570007,1912784,1042,0.719497395
151.8130035,1912782,1044,0.973931208
153.6450043,1912774,1047,0.556606159
156.3320007,1912662,1049,0.493747472
156.3320007,1912660,1052,0.304035306
156.5809937,1912625,1054,0.025784371
156.5809937,1912622,1057,0.076733706
156.5809937,1912558,1059,0.050949336
157.0729981,1912469,1062,0.092203963
157.0729981,1912465,1064,0.174098131
157.3950043,1912462,1066,0.199130278
158.1179962,1912369,1068,0.199130278
158.8309937,1912362,1071,0.148703355
158.8309937,1912356,1073,0.095167365
158.8309937,1912354,1075,0.069662413
159.0370026,1912282,1077,0.06368667
159.4459992,1912258,1079,0.069662413
159.4459992,1912248,1082,0.047427252
159.4459992,1912244,1084,0.00507376
159.4949951,1912208,1087,0.005549833
159.4949951,1912206,1089,0.00507376
159.4949951,1912098,1091,0
159.4949951,1911906,1094,0
159.4949951,1911889,1096,0
159.4949951,1911886,1098,0.025372639
159.4949951,1911882,1101,0.023196137
159.7189941,1911749,1103,0.023196137
159.7189941,1911617,1105,0.036658744
159.7189941,1911612,1107,0.013669603
159.848999,1911515,1110,0.013669603
159.8509979,1911511,1112,0.013669603
159.8509979,1911510,1115,0.000206995
159.8509979,1911495,1117,0.000286691
159.8509979,1908810,1120,0.065446921
159.8540039,1908737,1123,0.073723136
160.4830017,1908708,1125,0.16642606
160.6239929,1908705,1128,0.252261508
161.595993,1908695,1130,0.233187126
162.4989929,1908601,1133,0.241075492
162.9279938,1908599,1135,0.153596071
162.9519959,1908595,1137,0.056625366
162.9519959,1908586,1139,0.00300026
162.9519959,1908553,1141,0
162.9519959,1908510,1143,0
162.9519959,1908508,1146,0
162.9519959,1908422,1149,0
162.9519959,1908406,1151,0.006795996
162.9519959,1908345,1153,0.265375138
163.0119934,1907975,1155,0.457626342
165.074997,1907972,1157,0.540756961
166.6130066,1907964,1159,0.679967714
167.7259979,1907936,1162,0.486706465
169.0149994,1907501,1164,0.477178351
169.7749939,1907498,1167,0.395882304
171.220993,1907483,1169,0.249875556
171.220993,1907452,1171,0.180749893
171.220993,1907448,1173,0
171.220993,1907436,1175,0
171.220993,1907420,1177,0.239005537
171.220993,1907399,1179,0.339763362
173.529007,1907223,1182,0.339763362
174.5019989,1907220,1184,0.371643483
174.5019989,1907218,1186,0.121623992
174.5019989,1907188,1188,0
174.5019989,1906982,1190,0
174.5019989,1906979,1192,0
174.5019989,1906976,1194,0
174.5019989,1906903,1196,0
174.5019989,1906893,1198,0
174.5019989,1906891,1200,0
174.5019989,1906781,1202,0
174.5019989,1906780,1204,0
174.5019989,1906779,1206,0.138250351
174.5019989,1906733,1208,0.988177871
175.6080017,1906232,1210,0.988177871
183.2259979,1906183,1213,1.060218537
183.2259979,1906182,1215,0.854739723
183.8619995,1906173,1217,0.072040666
183.8619995,1906152,1220,0.101151794
183.8619995,1906117,1222,0.026613933
184.1190033,1906005,1224,0.026613933
184.1190033,1906001,1227,0.032412967
184.1190033,1904768,1230,0.112667176
184.1750031,1904743,1232,0.165376763
185.2070007,1904726,1234,0.180894126
185.7160034,1904717,1236,0.174550967
185.7160034,1904714,1238,0.052709587
185.7160034,1902939,1240,0
185.7160034,1902655,1243,0
185.7160034,1902501,1245,0.026278311
185.7160034,1902486,1247,0.048250197
185.9479981,1902483,1249,0.180624008
186.102005,1902474,1251,0.374250411
187.1609955,1902467,1253,0.376625061
188.7100067,1902261,1255,0.357374193
188.9609985,1902260,1257,0.203888513
188.9609985,1902156,1259,0.028430147
188.9609985,1902105,1262,0
188.9609985,1898943,1264,0
188.9609985,1898928,1266,0.00562477
188.9609985,1898916,1268,0.005096996
189.0059967,1898781,1270,0.005096996
189.0059967,1898777,1273,0.005096996
189.0059967,1898689,1275,0.052331933
189.0059967,1898640,1277,0.134750366
189.4680023,1898537,1279,0.206946019
190.0839996,1898522,1281,0.206946019
190.8329926,1898506,1284,0.191993791
190.8329926,1898492,1286,0.148046238
191.1629944,1898458,1288,0.177000046
191.3910065,1898396,1290,0.206501007
192.2489929,1898378,1292,0.165250779
192.4850006,1898176,1294,0.136749267
192.4850006,1898175,1296,0.029500961
192.4850006,1898164,1298,0
192.4850006,1898147,1300,0.034434542
192.4850006,1898124,1303,0.036019468
192.7890015,1898034,1305,0.042250284
192.8029938,1898033,1307,0.053749085
192.8580017,1897954,1309,0.039999009
192.9149933,1897944,1311,0.043043611
193.1089935,1897226,1313,0.040890047
193.1829987,1897089,1315,0.035001451
193.2189941,1897088,1317,0.011909351
193.223999,1897079,1319,0.00464416
193.223999,1897064,1322,0.000566909
193.223999,1897063,1324,0
193.223999,1896918,1326,0
193.223999,1896910,1328,0
193.223999,1896909,1330,0
193.223999,1896849,1332,0
193.223999,1896645,1334,0
193.223999,1896641,1336,0
193.223999,1896635,1338,0
193.223999,1896632,1340,0.000452837
193.223999,1896630,1342,0.008180272
193.2279968,1896545,1345,0.008180272
193.3029938,1896535,1348,0.008180272
193.3029938,1896534,1350,0.012800392
193.3029938,1896520,1352,0.004751206
193.3410034,1896285,1354,0.004305399
193.3410034,1896281,1356,0.004305399
193.3410034,1896277,1359,0.002174242
193.3410034,1896242,1361,0.002002468
193.3619995,1895684,1364,0.002002468
193.3619995,1895683,1366,0.002002468
193.3619995,1895612,1369,0
