OBJECTID,SHAPE_Length,MapUnit,y_midpoint,x_start,x_end,x_mid,y_start,y_end
2721,0.10111969,2,,-1.6796875,-1.669311523,-1.674499512,0.115112305,0.014526367
740,0.104102809,2,-3.526947021,-4.505004883,-4.5078125,-4.506408691,-3.474914551,-3.578979492
721,0.105132326,2,-3.95135498,-3.542297363,-3.544799805,-3.543548584,-3.898803711,-4.00390625
1323,0.106970445,2,-0.457946777,-2.874084473,-2.87689209,-2.875488281,-0.40447998,-0.511413574
1325,0.108407527,2,-0.456481934,-2.916809082,-2.915405273,-2.916107178,-0.402282715,-0.510681152
743,0.109064291,2,-4.822814941,-3.229187012,-3.225708008,-3.22744751,-4.768310547,-4.877319336
742,0.109700977,2,-4.785369873,-3.418823242,-3.416687012,-3.417755127,-4.730529785,-4.840209961
1289,0.113200883,2,-0.96383667,-0.928405762,-0.933227539,-0.93081665,-0.907287598,-1.020385742
704,0.115544774,2,-4.306854248,-4.447692871,-4.446594238,-4.447143555,-4.249084473,-4.364624023
2740,0.118820574,2,,-4.553894043,-4.562194824,-4.558044434,-0.991577148,-1.110107422
1694,0.122302576,2,-4.438425071,-6.322692871,-6.319885254,-6.321289063,-4.379211426,-4.497497559
1778,0.123175614,2,0.64050293,-2.916809082,-2.91809082,-2.917449951,0.702087402,0.578918457
821,0.127939268,2,-5.358551025,-1.839294434,-1.832275391,-1.835784912,-5.422424316,-5.294677734
1169,0.12869546,2,-2.061645508,-1.531616211,-1.528686523,-1.530151367,-1.997314453,-2.125976563
1324,0.129699707,2,-0.313262939,-2.890380859,-2.890380859,-2.890380859,-0.248413086,-0.378112793
880,0.130767463,2,-5.187347412,-1.220397949,-1.215515137,-1.217956543,-5.122009277,-5.252685547
2729,0.135721123,2,,-5.172180176,-5.190185547,-5.181182861,-3.717590332,-3.852111816
806,0.136893134,2,-5.245300293,-2.868713379,-2.872497559,-2.870605469,-5.176879883,-5.313720703
1337,0.137897492,2,-1.193115234,-3.217712402,-3.222412109,-3.220062256,-1.124206543,-1.262023926
807,0.138216642,2,-5.243896484,-2.678588867,-2.66809082,-2.673339844,-5.174987793,-5.312805176
2699,0.14130166,2,,1.387878418,1.398925781,1.3934021,-2.166809082,-2.307678223
1167,0.144497494,2,-1.919342041,-1.472595215,-1.469787598,-1.471191406,-1.847106934,-1.991577148
976,0.1598684,2,-5.011901855,-4.393310547,-4.388305664,-4.390808105,-4.932006836,-5.091796875
2724,0.163723743,2,,-4.104675293,-4.112976074,-4.108825684,-2.835083008,-2.998596191
628,0.164619816,2,-2.47479248,1.379089355,1.367126465,1.37310791,-2.392700195,-2.556884766
1162,0.180605348,2,-2.766082764,-1.518310547,-1.519226074,-1.518768311,-2.67578125,-2.856384277
2715,0.183897953,2,,-5.535705566,-5.531005859,-5.533355713,-1.161376953,-1.345214844
2116,0.188635379,2,-2.190979004,-3.740600586,-3.736877441,-3.738739014,-2.096679688,-2.28527832
720,0.188851345,2,-3.977996826,-3.60559082,-3.610717773,-3.608154297,-3.883605957,-4.072387695
632,0.196270633,2,-0.204193115,-0.0625,-0.058410645,-0.060455322,-0.106079102,-0.302307129
770,0.198152841,2,-4.95715332,-3.275512695,-3.271911621,-3.273712158,-4.858093262,-5.056213379
614,0.200354917,2,-2.617004395,-4.175292969,-4.167297363,-4.171295166,-2.516906738,-2.717102051
2261,0.20358461,2,-0.735076904,-0.930480957,-0.911499023,-0.92098999,-0.633728027,-0.836425781
1322,0.204643816,2,-0.404785156,-2.65447998,-2.649780273,-2.652130127,-0.302490234,-0.507080078
2595,0.207264912,2,-6.5730896,-1.579589844,-1.575012207,-1.577301025,-6.469482422,-6.676696777
2730,0.210830255,2,,-3.617675781,-3.578796387,-3.598236084,-3.673278809,-3.880493164
2726,0.215281595,2,,-1.375488281,-1.377624512,-1.376556396,-4.762817383,-4.978088379
2710,0.215410577,2,,-3.067382813,-3.070129395,-3.068756104,-0.241882324,-0.457275391
620,0.22025281,2,-2.815185547,-2.377197266,-2.37310791,-2.375152588,-2.705078125,-2.925292969
2115,0.222135915,2,-2.210754395,-3.800476074,-3.810180664,-3.805328369,-2.09979248,-2.321716309
1257,0.223314325,2,-1.120117188,-2.273193359,-2.284606934,-2.278900146,-1.008605957,-1.231628418
2711,0.230595869,2,,-4.533325195,-4.531799316,-4.532562256,-1.553283691,-1.783874512
1435,0.239657772,2,-3.375396729,0.141906738,0.152099609,0.147003174,-3.25567627,-3.495117188
2717,0.241395517,2,,-5.420593262,-5.426086426,-5.423339844,-1.963989258,-2.205322266
1557,0.246589177,2,-3.128448486,-4.330810547,-4.325012207,-4.327911377,-3.251708984,-3.005187988
602,0.252483173,2,-4.988952637,-3.671203613,-3.662109375,-3.666656494,-4.862792969,-5.115112305
2698,0.257111637,2,,1.155883789,1.159912109,1.157897949,-1.732910156,-1.989990234
650,0.260246709,2,-4.918987738,-5.690917969,-5.711486816,-5.701202393,-4.788879395,-5.046875
1143,0.262422015,2,-2.550109863,-2.254211426,-2.243591309,-2.248901367,-2.419006348,-2.681213379
2716,0.265430302,2,,-5.446289063,-5.457397461,-5.451843262,-1.14440918,-1.409606934
2723,0.268094101,2,,-1.04699707,-1.053894043,-1.050445557,-0.200622559,-0.46862793
621,0.268490662,2,-3.047393799,-2.449279785,-2.44128418,-2.445281982,-2.913208008,-3.18157959
1295,0.283858685,2,-0.329284668,-1.345275879,-1.340209961,-1.34274292,-0.18737793,-0.471191406
735,0.286212181,2,-4.002716064,-4.39440918,-4.379577637,-4.386993408,-3.859802246,-4.145629883
1979,0.290170877,2,-2.1277771,-4.127685547,-4.134094238,-4.130889893,-1.982727051,-2.272827148
2720,0.293379559,2,,-4.744689941,-4.734802246,-4.739746094,-0.418701172,-0.711914063
601,0.295139542,2,-5.003631592,-3.317504883,-3.312988281,-3.315246582,-4.856079102,-5.151184082
2697,0.297050148,2,,0.274475098,0.280090332,0.277282715,-1.695678711,-1.992675781
651,0.307167594,2,-4.321498396,-5.645629883,-5.638000488,-5.641815186,-4.16809082,-4.474609375
2700,0.334558546,2,,1.044677734,1.025085449,1.034881592,-2.270996094,-2.604980469
2743,0.339758725,2,,-4.973999023,-4.949401855,-4.961700439,0.301086426,-0.037780762
1401,0.342027842,2,-2.160095215,-2.967895508,-2.988098145,-2.977996826,-1.989379883,-2.330810547
2742,0.34280378,2,,-4.794677734,-4.762695313,-4.778686523,0.303527832,-0.037780762
1142,0.346716199,2,-2.49636472,-2.471679688,-2.442382813,-2.45703125,-2.329223633,-2.666381836
2267,0.358347221,2,-0.318145752,-0.876586914,-0.890075684,-0.883331299,-0.139099121,-0.497192383
2718,0.359089126,2,,-5.263977051,-5.267700195,-5.265838623,-1.967712402,-2.326782227
617,0.359744142,2,-6.247161865,0.458129883,0.506286621,0.482208252,-6.068908691,-6.425415039
2705,0.364218385,2,,-3.274108887,-3.278076172,-3.276092529,-1.921020508,-2.285217285
603,0.36487478,2,-4.894348145,-3.921203613,-3.919006348,-3.92010498,-4.711914063,-5.076782227
2597,0.367835574,2,-6.087646484,-3.674499512,-3.591186523,-3.632843018,-5.908508301,-6.266784668
619,0.368550975,2,-3.02545166,-2.701599121,-2.705505371,-2.703552246,-2.841186523,-3.209716797
1079,0.37244133,2,-2.772094727,-4.512695313,-4.510803223,-4.511749268,-2.585876465,-2.958312988
1165,0.377347074,2,-2.413276865,-1.048828125,-1.01739502,-1.033111572,-2.226379395,-2.60168457
778,0.37898321,2,-4.824890137,-2.361083984,-2.381774902,-2.371429443,-4.635681152,-5.014099121
734,0.387697854,2,-3.881164551,-4.443725586,-4.445129395,-4.44442749,-3.687316895,-4.075012207
2596,0.402117476,2,-6.078643799,-4.073303223,-3.974182129,-4.023742676,-5.883789063,-6.273498535
2708,0.415085218,2,,-2.465087891,-2.451293945,-2.458190918,-0.549926758,-0.964782715
2701,0.427562335,2,,0.642089844,0.627319336,0.63470459,-1.654602051,-2.08190918
616,0.429780517,2,-5.906799316,0.073730469,0.105712891,0.08972168,-5.692504883,-6.12109375
2707,0.441868333,2,,-2.882507324,-2.862304688,-2.872406006,-0.542175293,-0.983581543
640,0.445682727,2,-3.010742188,-3.724182129,-3.722290039,-3.723236084,-2.787902832,-3.233581543
1100,0.449291356,2,-2.605832318,-3.989196777,-3.958618164,-3.973907471,-2.383605957,-2.829711914
2744,0.451910892,2,,-4.387084961,-4.389526367,-4.388305664,0.43371582,-0.018188477
623,0.452533126,2,-2.923339844,-0.887390137,-0.891479492,-0.889434814,-2.69708252,-3.149597168
2731,0.454385197,2,,-5.203613281,-5.164489746,-5.184051514,-2.772583008,-3.225280762
2598,0.464675188,2,-5.448883057,-3.633789063,-3.618286133,-3.626037598,-5.216674805,-5.681091309
1803,0.467249136,2,1.561401367,-3.561218262,-3.592712402,-3.576965332,1.794494629,1.328308105
2713,0.480712891,2,,-4.511108398,-4.511108398,-4.511108398,-0.40411377,-0.88482666
631,0.488996398,2,-1.043182373,-0.615112305,-0.595092773,-0.605102539,-0.79888916,-1.287475586
627,0.494117559,2,-2.707061768,1.146911621,1.106872559,1.12689209,-2.46081543,-2.953308105
1163,0.496513748,2,-2.958099365,-1.482177734,-1.50402832,-1.493103027,-2.710083008,-3.206115723
2734,0.506578685,2,,-1.425598145,-1.412475586,-1.419036865,-4.072998047,-4.579406738
1164,0.512707096,2,-2.900715786,-1.216125488,-1.240783691,-1.22845459,-2.64440918,-3.155700684
613,0.517163816,2,-3.099487305,-4.567687988,-4.591796875,-4.579742432,-2.841186523,-3.357788086
