OBJECTID,SHAPE_Length,MapUnit,xmid,ystart,yend
25,6.020228251,2,0,6.7590942,12.7785034
1947,16.60005739,2,0.9560242,30.34552,13.8286743
1945,10.37706075,2,4.2520141,31.0863037,20.7357178
1701,2.064458492,2,4.4043884,12.2626953,10.1989136
1946,3.196166992,2,4.6436462,20.8414917,17.6453247
26,5.524596648,2,6.439331,12.0640869,6.5410767
1944,13.92617277,2,7.2047424,31.0227051,17.1585083
1942,10.95643101,2,8.8981018,33.4993286,22.5983276
1682,1.8390464,2,9.0274353,12.7598877,14.5958862
1930,0.93939209,2,9.8889465,7.376709,6.4373169
1943,6.841814905,2,10.2527771,24.8842773,18.0899048
1911,1.575605923,2,10.3585815,17.748291,16.1740723
1913,0.754491325,2,11.1061401,16.8355103,16.0814819
1931,0.728684214,2,11.3375854,7.4558716,6.7282715
1912,0.568786621,2,11.4632263,17.6557007,17.0869141
1914,0.727600098,2,11.5955505,16.7958984,16.0682983
1927,1.234890275,2,11.7013244,11.9406738,10.7103271
1926,1.615904868,2,11.7410278,14.2028809,12.5889282
1932,2.144790124,2,11.9593506,7.4030762,5.2730713
1933,2.214017856,2,12.3363952,7.3898926,5.2070923
1915,0.873387633,2,12.4819031,16.7824707,15.9094849
1916,0.812301054,2,13.0309448,16.7958984,15.9888916
1919,1.07345202,2,13.3219299,15.5125122,14.4411011
1917,0.770054201,2,13.5733032,16.6766968,15.9094849
1920,1.231545129,2,13.8312988,15.7111206,14.4807129
1925,1.666992188,2,13.9503479,14.269104,12.6021118
1928,1.231047148,2,14.2082825,12.9990845,11.7686768
1921,0.995350237,2,14.241394,15.4729004,14.4807129
1929,1.457477917,2,14.3604736,11.7423096,10.300293
1922,0.99254104,2,14.4662781,15.4729004,14.4807129
1918,0.821152314,2,14.5125732,16.7561035,15.9359131
1941,1.007265965,2,14.69104,7.2310791,6.2269287
1905,0.742675704,2,15.3850403,16.6420898,15.9013062
1923,1.059153921,2,15.6634827,15.5523071,14.4938965
1924,1.151077177,2,16.0339355,14.2822876,13.1312866
1897,5.518087842,2,16.4142761,26.144104,20.640686
1906,0.691168127,2,16.59552,16.7346802,16.0466919
1907,1.296454374,2,17.4158325,15.5175171,14.2211304
1908,1.257891044,2,17.7531433,15.5704956,14.3137207
1909,1.165450365,2,18.0573425,15.5175171,14.3532715
1910,7.543421666,2,18.3963318,15.5042725,7.9628906
1896,5.655068049,2,18.5098266,21.4451294,15.8148804
1936,1.226395196,2,18.5775452,15.6052856,14.3789063
1934,2.397371898,2,18.9443359,7.1253052,4.7440796
1937,4.13687589,2,18.9519348,14.0930786,9.9562988
1895,6.783903128,2,19.5151367,27.1176758,20.3444824
